geoid,treat
42079201300,0
54069001700,0
17031801200,0
24005491000,0
36047005202,0
36055012700,0
42071000300,0
45079002300,1
47157003500,0
51650011500,0
55079070100,1
55079080100,0
1073004800,0
12086003804,0
19193001300,0
26081012400,0
36029004500,0
39035187103,0
6037181000,0
34003047300,0
34013016500,0
42091202402,0
6037262706,0
9001021200,0
39035151300,0
39113020100,0
5119001502,0
17201000600,0
29510114300,0
44007003601,0
18097321200,0
27053110800,1
29510114200,0
36005035100,1
36061010000,0
36093033400,0
39049008900,0
39095001303,0
39095010400,0
42003110200,1
47065002800,0
48113000606,0
48201410402,0
9003415800,0
17163501501,0
24510090300,0
27053012003,1
41051006100,0
42101025400,0
6037267902,0
6075030400,0
26125142000,0
26125152600,0
34007606100,0
36029005400,0
37081010701,0
42073000100,0
42091202301,0
47157002900,0
6037264000,0
26081002400,0
31055007001,0
34007603100,1
39035121700,0
39035152101,0
42043021700,0
44007003500,0
44007016800,1
48375011900,0
48439102700,0
51760050200,1
24005490800,0
25017373600,0
26081003300,0
29510112100,0
37063000401,0
39035160500,0
48113001400,0
49035103500,0
6037461300,0
12086001205,0
25017356400,0
25021416101,0
29189219200,1
34001013302,0
34003015100,0
34003027000,0
39095001302,0
42101023600,0
48029190501,0
55079004900,0
6073000100,0
9001021801,1
26163543400,0
29510109600,0
34007606000,0
40143004200,0
42003140800,0
51710001200,1
55079005800,1
55079091100,0
6001421300,0
6037212702,0
21037052400,0
22071012200,0
29510103100,0
34013020200,0
37119003500,0
47037016700,0
47157001600,0
47157003100,0
6075013200,0
12031000700,0
12086006802,0
36047005201,0
36047005601,0
41051002501,0
42043020900,0
47037017800,1
49057201301,0
18141000800,0
19155031100,0
27053003200,0
31109001900,0
36007001500,0
39035140302,0
40143003500,0
41051000302,0
48141002400,0
48141002500,0
6075013300,0
6075031000,0
9001021100,0
12031002200,0
36029008600,0
39049000120,1
40143004400,0
12086001301,1
17031800400,0
17097865502,0
26065004100,0
31055003500,0
39035130105,0
39099801500,1
39099802500,0
39113000400,0
42071000500,0
47157007100,0
47157007300,0
48309000800,0
51760010500,1
55025000902,0
6037194101,0
6073007100,0
8101001900,0
12086002100,1
17031080100,0
25025110601,0
27053109800,0
36015000400,0
36029004800,0
40109101200,0
48167725000,0
48453000302,0
6037463300,0
6067002300,0
9009141800,0
12086006402,0
